iter	Passed	Remaining
399	11129	16694
400	11144	16647
401	11158	16598
402	11169	16546
403	11185	16500
404	11201	16455
405	11217	16411
406	11231	16363
407	11247	16319
408	11262	16274
409	11275	16225
410	11285	16172
411	11297	16124
412	11311	16077
413	11326	16031
414	11340	15985
415	11349	15932
416	11363	15886
417	11376	15839
418	11394	15799
419	11406	15752
420	11424	15711
421	11433	15660
422	11447	15615
423	11462	15571
424	11476	15527
425	11491	15483
426	11503	15437
427	11511	15384
428	11524	15339
429	11534	15289
430	11543	15239
431	11555	15193
432	11569	15150
433	11579	15101
434	11593	15058
435	11607	15015
436	11622	14973
437	11640	14935
438	11655	14894
439	11669	14852
440	11683	14809
441	11693	14762
442	11709	14722
443	11723	14680
444	11740	14642
445	11755	14602
446	11768	14559
447	11781	14516
448	11793	14472
449	11807	14431
450	11820	14389
451	11835	14349
452	11851	14311
453	11869	14275
454	11883	14234
455	11897	14193
456	11909	14150
457	11925	14112
458	11939	14072
459	11954	14033
460	11969	13994
461	11983	13954
462	11996	13913
463	12008	13871
464	12023	13833
465	12036	13793
466	12050	13753
467	12064	13714
468	12074	13670
469	12088	13631
470	12101	13591
471	12114	13551
472	12122	13506
473	12135	13466
474	12148	13427
475	12164	13391
476	12174	13348
477	12185	13307
478	12199	13268
479	12212	13229
480	12220	13186
481	12233	13146
482	12245	13107
483	12254	13064
484	12265	13024
485	12278	12985
486	12291	12947
487	12301	12906
488	12315	12869
489	12327	12830
490	12335	12787
491	12347	12749
492	12359	12710
493	12366	12667
494	12378	12628
495	12395	12595
496	12409	12559
497	12425	12525
498	12434	12484
499	12447	12447
500	12461	12412
501	12476	12376
502	12490	12341
503	12506	12307
504	12516	12268
505	12528	12231
506	12538	12192
507	12547	12152
508	12559	12114
509	12570	12077
510	12580	12039
511	12594	12004
512	12607	11968
513	12614	11927
514	12627	11891
515	12641	11857
516	12653	11821
517	12662	11782
518	12677	11749
519	12692	11715
520	12706	11682
521	12717	11645
522	12727	11608
523	12741	11573
524	12754	11540
525	12763	11501
526	12777	11468
527	12791	11434
528	12805	11401
529	12818	11366
530	12827	11329
531	12837	11293
532	12845	11254
533	12856	11219
534	12867	11184
535	12875	11145
536	12886	11110
537	12894	11073
538	12907	11039
539	12919	11005
540	12927	10968
541	12938	10933
542	12949	10898
543	12958	10861
544	12969	10827
545	12977	10791
546	12989	10757
547	13000	10722
548	13009	10687
549	13020	10653
550	13031	10619
551	13040	10583
552	13052	10550
553	13065	10518
554	13074	10483
555	13086	10450
556	13096	10415
557	13107	10382
558	13115	10347
559	13127	10314
560	13139	10282
561	13148	10247
562	13161	10215
563	13174	10184
564	13187	10153
565	13195	10118
566	13209	10088
567	13221	10056
568	13230	10021
569	13242	9989
570	13254	9958
571	13264	9925
572	13275	9892
573	13288	9861
574	13296	9827
575	13310	9797
576	13322	9766
577	13334	9735
578	13345	9703
579	13359	9674
580	13373	9644
581	13386	9614
582	13396	9581
583	13405	9549
584	13418	9518
585	13426	9485
586	13438	9455
587	13450	9424
588	13464	9395
589	13474	9363
590	13486	9333
591	13493	9299
592	13504	9268
593	13514	9237
594	13522	9204
595	13534	9174
596	13542	9141
597	13554	9111
598	13565	9081
599	13573	9048
600	13585	9019
601	13599	8991
602	13612	8962
603	13623	8931
604	13634	8902
605	13645	8871
606	13655	8841
607	13667	8811
608	13679	8782
609	13690	8752
610	13703	8724
611	13717	8696
612	13729	8667
613	13739	8637
614	13752	8609
615	13766	8581
616	13779	8553
617	13788	8522
618	13803	8496
619	13817	8468
620	13826	8438
621	13834	8407
622	13845	8378
623	13854	8348
624	13866	8319
625	13876	8290
626	13884	8260
627	13895	8231
628	13902	8200
629	13913	8171
630	13922	8141
631	13932	8112
632	13942	8083
633	13951	8053
634	13961	8025
635	13973	7997
636	13981	7967
637	13993	7940
638	14002	7910
639	14013	7882
640	14024	7854
641	14032	7825
