iter	RMSE
141	1.555208487
142	1.54981771
143	1.544382089
144	1.541325147
145	1.536805098
146	1.53428597
147	1.531133519
148	1.525676491
149	1.520079021
150	1.51509416
151	1.510058023
152	1.507231834
153	1.504007311
154	1.501764604
155	1.497744104
156	1.495056468
157	1.491427239
158	1.488655632
159	1.484622081
160	1.48190898
161	1.474527829
162	1.468372172
163	1.466750717
164	1.464594567
165	1.458089153
166	1.455652336
167	1.451611107
168	1.449224962
169	1.445378581
170	1.443038981
171	1.440924989
172	1.438639005
173	1.436418135
174	1.431001956
175	1.427486639
176	1.423496987
177	1.421132478
178	1.417484343
179	1.416062086
180	1.413740263
181	1.41242374
182	1.410690122
183	1.409139698
184	1.407238707
185	1.406764707
186	1.405110571
187	1.403779296
188	1.400546235
189	1.398757258
190	1.396484018
191	1.394497375
192	1.391393011
193	1.388638827
194	1.387021005
195	1.382708378
196	1.379445211
197	1.376843789
198	1.374349235
199	1.372561964
200	1.370777549
201	1.369651887
202	1.369182538
203	1.366129467
204	1.361815684
205	1.359777607
206	1.358052849
207	1.357600182
208	1.356391012
209	1.353337784
210	1.35124883
211	1.349966574
212	1.348108686
213	1.344462852
214	1.342272902
215	1.339125861
216	1.337129755
217	1.33352099
218	1.327830313
219	1.326624909
220	1.324609057
221	1.320900629
222	1.319071869
223	1.317965424
224	1.316561352
225	1.315930082
226	1.313467583
227	1.311160467
228	1.31083719
229	1.308250996
230	1.306586088
231	1.30324716
232	1.300258558
233	1.299455888
234	1.29757175
235	1.295592173
236	1.2952209
237	1.294585301
238	1.292834557
239	1.287714941
240	1.286790991
241	1.285370976
242	1.284851242
243	1.283254248
244	1.280125403
245	1.277669294
246	1.27649562
247	1.273898642
248	1.271810808
249	1.266775211
250	1.26547288
251	1.260832937
252	1.258864753
253	1.257919162
254	1.25670289
255	1.254687989
256	1.254210164
257	1.252277113
258	1.250484664
259	1.249735818
260	1.24793892
261	1.246450674
262	1.243550735
263	1.242423104
264	1.238778062
265	1.237176234
266	1.236270257
267	1.235099552
268	1.233414513
269	1.229664819
270	1.2286945
271	1.227530618
272	1.226604129
273	1.223045574
274	1.221505613
275	1.21976264
276	1.219034919
277	1.21751467
278	1.216589273
279	1.212745533
280	1.209324941
281	1.207624316
282	1.207187673
283	1.206511515
284	1.204703911
285	1.203291353
286	1.202274899
287	1.201608325
288	1.199118405
289	1.198187388
290	1.19487837
291	1.193792757
292	1.190715128
293	1.18943436
294	1.189124776
295	1.188348946
296	1.18679066
297	1.186161505
298	1.185785304
299	1.184230869
300	1.182958809
301	1.179920496
302	1.178891204
303	1.178134339
304	1.175482386
305	1.174780391
306	1.173976017
307	1.173307187
308	1.172455024
309	1.171251957
310	1.170452332
311	1.169008735
312	1.168337736
313	1.166833164
314	1.163986661
315	1.162069417
316	1.160964954
317	1.159816179
318	1.157206044
319	1.156885232
320	1.156175565
321	1.155871453
322	1.153433198
323	1.15290669
324	1.151578477
325	1.150243021
326	1.149264005
327	1.147415576
328	1.146213113
329	1.144638627
330	1.143752007
331	1.143419378
332	1.141939106
333	1.141233799
334	1.139826088
335	1.138638425
336	1.136100628
337	1.13540062
338	1.134122606
339	1.133345507
340	1.131690351
341	1.130790681
342	1.130448352
343	1.13021672
344	1.127906708
345	1.126977444
346	1.126396983
347	1.123848849
348	1.123029423
349	1.121875975
350	1.121591222
351	1.120876977
352	1.120346772
353	1.120046257
354	1.119808994
355	1.119272876
356	1.11776325
357	1.117080093
358	1.116479141
359	1.115621209
360	1.114446028
361	1.112058583
362	1.11162871
363	1.111207246
364	1.109079377
365	1.108106807
366	1.107424065
367	1.105725329
368	1.103781315
369	1.102022659
370	1.101292851
371	1.10094137
372	1.099580415
373	1.099162332
374	1.098835361
375	1.098132763
376	1.096958458
377	1.095983464
378	1.094973274
379	1.094414457
380	1.092883988
381	1.092280692
382	1.092094599
383	1.091554941
384	1.090128369
385	1.088274572
386	1.087385307
387	1.085804759
388	1.084718819
389	1.084444298
390	1.084086874
391	1.083054081
392	1.081332849
393	1.080459138
394	1.079808748
395	1.078796829
396	1.077622335
397	1.076989915
398	1.076577733
399	1.075192935
400	1.074640026
401	1.074099816
402	1.073023146
403	1.07224065
404	1.071652801
405	1.070358061
406	1.069671044
407	1.067963748
408	1.066443037
409	1.065581495
410	1.064313458
411	1.06378522
412	1.062595013
413	1.062364561
414	1.061831958
415	1.061059052
416	1.059358782
417	1.058318689
418	1.057698852
419	1.057444178
420	1.057077973
421	1.05633449
422	1.055600386
423	1.054957458
424	1.053641405
425	1.053319236
426	1.052520118
427	1.051972225
428	1.051463375
429	1.050929817
430	1.050501126
431	1.04980755
432	1.049062438
433	1.048526324
434	1.048217829
435	1.04730836
436	1.045932005
437	1.044613948
438	1.044391066
439	1.044096942
440	1.043388986
441	1.042975067
442	1.041791414
443	1.040811258
444	1.040614443
445	1.039773105
446	1.039627871
447	1.038867217
448	1.038335931
449	1.037804498
450	1.037304611
451	1.036542566
452	1.035963463
453	1.034778376
454	1.033866563
455	1.033473398
456	1.032829853
457	1.031808581
458	1.030890645
459	1.029392319
460	1.028698512
461	1.028412411
462	1.028143787
463	1.027910149
464	1.027345806
465	1.02683384
466	1.025859051
467	1.02483324
468	1.024254474
469	1.023842306
470	1.023265067
471	1.023049537
472	1.022824086
473	1.022104346
474	1.020880364
475	1.019673623
476	1.019453118
477	1.01875294
478	1.017406945
479	1.016640514
480	1.015983702
481	1.015261569
482	1.014710616
483	1.014433049
484	1.014229026
485	1.013410428
486	1.01291548
487	1.012293129
488	1.010966302
489	1.010255335
490	1.00969866
491	1.009196413
492	1.008599673
493	1.008187918
494	1.007729794
495	1.006767121
496	1.006310129
497	1.005692734
498	1.005205502
499	1.004802798
500	1.004291505
501	1.00361079
502	1.00349986
503	1.002550906
504	1.002271811
505	1.001931351
506	1.001416692
507	1.00115682
508	1.00089506
509	1.000525907
510	1.000152508
511	0.9999604272
512	0.9987857503
513	0.9984768996
514	0.9979555502
515	0.9972146636
516	0.9970510706
517	0.9964129889
518	0.9958536471
519	0.9947460151
520	0.9944149728
521	0.9940713581
522	0.9934573442
523	0.9931424289
524	0.9927632975
525	0.9922842199
526	0.9919486129
527	0.9915462283
528	0.9910485811
529	0.9907872555
530	0.9906034571
531	0.9901345999
532	0.9898038642
533	0.9886439389
534	0.9880123277
535	0.9875049963
536	0.9873066769
537	0.9862557404
538	0.9858138119
539	0.9852713617
540	0.9844440837
541	0.9834856176
542	0.9829359188
543	0.9826566263
544	0.9822246218
545	0.9820919199
546	0.9812898381
547	0.9808757982
548	0.9803301665
549	0.97956087
550	0.9791021847
551	0.9784918208
552	0.9779770862
553	0.9776678977
554	0.9775587883
555	0.9770643545
556	0.9763828191
557	0.9762369229
558	0.9758505903
559	0.9747777567
560	0.974516429
561	0.9740467696
562	0.9732428739
563	0.9727880672
564	0.9722155141
565	0.9718134827
566	0.9711907505
567	0.9709273907
568	0.9701242597
569	0.9696577996
570	0.9693116504
571	0.9683986093
572	0.968269615
573	0.9673997697
574	0.9671864743
575	0.9668846744
576	0.966467043
577	0.9660680006
578	0.9655252931
579	0.9650162439
580	0.9647951364
581	0.9639664577
582	0.9635900633
583	0.9631075169
584	0.9620996637
585	0.961821785
586	0.961486759
587	0.9612951645
588	0.960542863
589	0.9603241449
590	0.9597261779
591	0.959289861
592	0.9589707519
593	0.9586761074
594	0.9583352039
595	0.9576865112
596	0.95732088
597	0.9564754785
598	0.9562298014
599	0.9559021008
600	0.9555471806
601	0.9548866413
602	0.9540420892
603	0.9537550841
604	0.9534907434
605	0.9533749183
606	0.9526076099
607	0.9521671356
608	0.951729449
609	0.9515318584
610	0.9511262895
611	0.9508926629
612	0.9504876317
613	0.9501050565
614	0.9498493647
615	0.9489439369
616	0.9481762969
617	0.9475817892
618	0.946705618
619	0.9462749896
620	0.9458488253
621	0.9454718593
622	0.9450846428
623	0.9448994807
624	0.9445143751
625	0.9441433919
626	0.9436423053
627	0.9434569365
628	0.9432901472
629	0.9427493617
630	0.9416043928
631	0.941305633
632	0.9409290823
633	0.940602888
634	0.9401648482
635	0.9399944935
636	0.9397709937
637	0.9393886106
638	0.938690888
639	0.9383322559
640	0.9379711219
641	0.9374421227
642	0.9366130616
643	0.9363697056
644	0.9360855447
645	0.935935734
646	0.9354051437
647	0.9352247105
648	0.934753535
649	0.9337305359
650	0.9333384674
651	0.933120528
652	0.9325827149
653	0.9316576118
654	0.9311829638
655	0.9306062087
656	0.9301303831
657	0.9297575747
658	0.9291226337
659	0.9288762609
660	0.9283382381
661	0.9278229685
662	0.9274763188
663	0.927039043
664	0.9267862374
665	0.9266237822
666	0.9262265696
667	0.9259813024
668	0.9256696414
669	0.9255136857
670	0.9253440937
671	0.9248780106
672	0.9245533872
673	0.92411663
674	0.9232178817
675	0.9228695276
676	0.9220537557
677	0.9215520346
678	0.9209046711
679	0.920434641
680	0.9202817745
681	0.9200269957
682	0.9198656735
683	0.9195773656
684	0.919111493
685	0.9188504878
686	0.9185550162
687	0.9180921209
688	0.9178420201
689	0.9176880387
690	0.9170940903
691	0.9166017809
692	0.9162526119
693	0.9158949029
694	0.9156830906
695	0.9155231714
696	0.9151889871
697	0.9148122387
698	0.9145970395
699	0.9143741943
700	0.9136711859
701	0.9135350365
702	0.9132353748
703	0.9130974357
704	0.9128874362
705	0.9124661897
706	0.9122808008
707	0.911645712
708	0.911174017
709	0.9106275466
710	0.9104461846
711	0.9100358301
712	0.9097894215
713	0.9096659081
714	0.9092923643
715	0.9088382596
716	0.9082949928
717	0.9078509439
718	0.907090201
719	0.9068585997
720	0.9065614748
721	0.9061940525
722	0.9060117184
723	0.9057438874
724	0.9052802065
725	0.9050715264
726	0.9047983051
727	0.9043457677
728	0.9039806105
729	0.9033908936
730	0.9030367734
731	0.9026493116
732	0.9023980738
733	0.9018334255
734	0.9016945004
735	0.9012898791
736	0.9009497422
737	0.9004748127
738	0.8999697231
739	0.8995889816
740	0.8994062582
741	0.8989922216
742	0.8987601083
743	0.8985281877
744	0.8982150572
745	0.8978351217
746	0.897525168
747	0.8970152248
748	0.8963628898
749	0.8955989672
750	0.895393451
751	0.8952732183
752	0.8950398322
753	0.8948969851
754	0.8945565779
755	0.8941051602
756	0.8938721146
757	0.8934265347
758	0.893282013
759	0.8928078813
760	0.8927090795
761	0.8924047999
762	0.892154753
763	0.891919456
764	0.8917402432
765	0.8913543447
766	0.8911756556
767	0.8908379342
768	0.8904455707
769	0.8902884192
770	0.8899060359
771	0.8895630326
772	0.8893604725
773	0.8889858333
774	0.8887715054
775	0.8879747887
776	0.8873344866
777	0.8871709032
778	0.8870508159
779	0.8868322869
780	0.886365365
781	0.8858261753
782	0.8855362145
783	0.885406368
784	0.8851887668
785	0.885025522
786	0.8845934089
787	0.8842122221
788	0.884105889
789	0.8837389502
790	0.8834232132
791	0.8830526195
792	0.8827508924
793	0.8823156087
794	0.882128949
795	0.8819658636
796	0.8816422501
797	0.881490236
798	0.881201147
799	0.8808791038
800	0.8806497444
801	0.8804309935
802	0.8802341791
803	0.8800564657
804	0.8799518511
805	0.8798473261
806	0.8797011901
807	0.8795088352
808	0.8791257146
809	0.8790236177
810	0.8786973649
811	0.878507411
812	0.878211566
813	0.8777763641
814	0.877666159
815	0.8774006991
816	0.8770877537
817	0.8769440037
818	0.8766035517
819	0.8764812783
820	0.8759454547
821	0.8755495428
822	0.8752850679
823	0.8748897867
824	0.8744996052
825	0.8743040324
826	0.8741947197
827	0.8740932502
828	0.8739876355
829	0.8737484078
830	0.8730914711
831	0.8726913074
832	0.8724264616
833	0.8720726569
834	0.8716990202
835	0.8714589681
836	0.8711155917
837	0.8708673114
838	0.870604522
839	0.8704181716
840	0.8701242303
841	0.8698389857
842	0.869747153
843	0.8694964616
844	0.869329309
845	0.869100847
846	0.8685048279
847	0.8681621016
848	0.8677895181
849	0.867428605
850	0.8671389986
851	0.866721636
852	0.8666155601
853	0.8662329764
854	0.8658782076
855	0.8656622251
856	0.8653303158
857	0.8651671373
858	0.8647229825
859	0.8644379525
860	0.8642357016
861	0.8636074215
862	0.8633252081
863	0.8630821528
864	0.8625071437
865	0.8621426721
866	0.8615996049
867	0.861404634
868	0.861084816
869	0.8607747607
870	0.8606359917
871	0.8603570749
872	0.8601353951
873	0.8600001392
874	0.8597221465
875	0.8595633921
876	0.8593720203
877	0.8590232808
878	0.8586337132
879	0.8582533732
880	0.8580234339
881	0.8578722668
882	0.8576595495
883	0.8573414078
884	0.857047822
885	0.8567984435
886	0.8565799115
887	0.8563734905
888	0.8560927007
889	0.8558467624
890	0.8554983105
891	0.8553029934
892	0.8551840745
893	0.8550289443
894	0.8549279536
895	0.8546292295
896	0.854424145
897	0.854182222
898	0.8539562395
899	0.8535541567
900	0.8533193801
901	0.8528866126
902	0.8525913899
903	0.852298039
904	0.851708518
905	0.8515062805
906	0.8513212045
907	0.8511960879
908	0.8509798113
909	0.8507782283
910	0.8502360975
911	0.8500287435
912	0.8498169193
913	0.8492795676
914	0.8491628201
915	0.8489472214
916	0.8485393802
917	0.8482062667
918	0.8480151568
919	0.8475643816
920	0.8471733914
921	0.8470997333
922	0.8467807612
923	0.8464723109
924	0.8461547544
925	0.8459243553
926	0.8456847327
927	0.845392738
928	0.8452602535
929	0.8450656948
930	0.8447392103
931	0.8444172941
932	0.8443249117
933	0.8441776099
934	0.8440654737
935	0.8439235186
936	0.843727722
937	0.8432823635
938	0.8431055085
939	0.8426869363
940	0.842349957
941	0.8421933575
942	0.8419556447
943	0.8417913761
944	0.841639415
945	0.8413040185
946	0.8411212399
947	0.8409040283
948	0.840554303
949	0.8401493238
950	0.8399768662
951	0.8396966156
952	0.8393322666
953	0.8390043742
954	0.8387218955
955	0.8382527205
956	0.837864201
957	0.837706783
958	0.8375420204
959	0.8373416277
960	0.8370121936
961	0.8365154389
962	0.8363523347
963	0.8360640036
964	0.8356627424
965	0.835350023
966	0.8350741853
967	0.8347117991
968	0.8345055255
969	0.8340322573
970	0.8337604207
971	0.8334796676
972	0.8332633085
973	0.8331113225
974	0.8329367109
975	0.8326237883
976	0.8323223251
977	0.8321990358
978	0.8317872203
979	0.8315642926
980	0.8314253582
981	0.831121943
982	0.8310078311
983	0.8306589896
984	0.8304444847
985	0.8300477614
986	0.8297457331
987	0.8296128681
988	0.8291758755
989	0.8289062115
990	0.8287502634
991	0.828503541
992	0.8283104227
993	0.8281028156
994	0.8278835961
995	0.8277975543
996	0.8274819343
997	0.8270399664
998	0.8266331389
999	0.8264088979
